subject,width,height,resolution
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46926,2304,1440,2940 x 1912 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
46986,1728,1080,1920 x 1080 @ 60Hz
47192,2304,1440,2940 x 1912 @ 60Hz
47192,2304,1440,2940 x 1912 @ 60Hz
47192,2304,1440,2940 x 1912 @ 60Hz
47192,2304,1440,2940 x 1912 @ 60Hz
47192,2304,1440,2940 x 1912 @ 60Hz
47192,2304,1440,2940 x 1912 @ 60Hz
47192,2940,1838,2940 x 1912 @ 60Hz
47192,2940,1838,2940 x 1912 @ 60Hz
47192,2940,1838,2940 x 1912 @ 60Hz
47192,2940,1838,2940 x 1912 @ 60Hz
47192,2940,1838,2940 x 1912 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47220,1440,900,1920 x 1200 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47601,2304,1440,2940 x 1912 @ 60Hz
47835,2304,1440,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
47835,3420,2138,3420 x 2224 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48109,1152,720,3440 x 1440 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48122,1440,900,1920 x 1080 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48262,2304,1440,3420 x 2214 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48464,2304,1440,3456 x 2234 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48480,2304,1440,2880 x 1800 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48484,2304,1440,3420 x 2214 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48486,1728,1080,2561 x 1601 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48487,1440,900,1920 x 1080 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
48488,2304,1440,2940 x 1912 @ 60Hz
