subject,level,obj_ID,point_value,x,y,new_x,new_y,time
46986,1,58,2,-6.5,-15,-6.5,-15,1542.7969970703125
46986,1,59,2,-10,-15,-10,-15,1543.0810546875
46986,1,56,2,-12.5,-17.5,-12.5,-17.5,1543.4639892578125
46986,1,60,2,-15,-15,-15,-15,1543.4969482421875
46986,1,53,2,-15,-20,-15,-20,1543.72900390625
46986,1,52,2,-15,-23.5,-15,-23.5,1544.030029296875
46986,1,54,2,-10,-20,-10,-20,1544.4119873046875
46986,1,57,2,-17.5,-17.5,-17.5,-17.5,1544.9630126953125
46986,1,61,2,-20,-15,-20,-15,1545.177978515625
46986,1,64,2,-17.5,-12.5,-17.5,-12.5,1545.3289794921875
46986,1,66,2,-15,-10,-15,-10,1545.5780029296875
46986,1,65,2,-10,-10,-10,-10,1545.97802734375
46986,1,63,2,-12.5,-12.5,-12.5,-12.5,1546.376953125
46986,1,68,2,-15,-6.5,-15,-6.5,1546.6600341796875
46986,1,51,2,-15,6.5,-15,6.5,1547.760009765625
46986,1,49,2,-15,10,-15,10,1548.04296875
46986,1,50,2,-20,10,-20,10,1548.3089599609375
46986,1,47,2,-17.5,12.5,-17.5,12.5,1548.9420166015625
46986,1,38,2,-20,20,-20,20,1549.425048828125
46986,1,36,2,-15,20,-15,20,1549.758056640625
46986,1,39,2,-12.5,17.5,-12.5,17.5,1550.0909423828125
46986,1,43,2,-15,15,-15,15,1550.291015625
46986,1,40,2,-17.5,17.5,-17.5,17.5,1550.4580078125
46986,1,42,2,-10,15,-10,15,1551.1240234375
46986,1,46,2,-12.5,12.5,-12.5,12.5,1551.3070068359375
46986,1,41,2,-6.5,15,-6.5,15,1552.18896484375
46986,1,3,2,10,20,10,20,1553.637939453125
46986,1,5,2,12.5,17.5,12.5,17.5,1553.8719482421875
46986,1,8,2,10,15,10,15,1554.071044921875
46986,1,7,2,6.5,15,6.5,15,1554.3709716796875
46986,1,1,2,15,23.5,15,23.5,1555.35302734375
46986,1,2,2,15,20,15,20,1555.6700439453125
46986,1,6,2,17.5,17.5,17.5,17.5,1555.8360595703125
46986,1,10,2,20,15,20,15,1556.18603515625
