subject,level,obj_ID,point_value,x,y,new_x,new_y,time
49058,1,20,2,10,-20,10,-20,984.6785888671876
49058,1,22,2,12.5,-17.5,12.5,-17.5,984.9617919921876
49058,1,25,2,10,-15,10,-15,985.2283935546876
49058,1,29,2,12.5,-12.5,12.5,-12.5,985.4119873046876
49058,1,26,2,15,-15,15,-15,985.4619140625
49058,1,23,2,17.5,-17.5,17.5,-17.5,985.711669921875
49058,1,19,2,15,-20,15,-20,986.04522705078125
49058,1,30,2,17.5,-12.5,17.5,-12.5,986.92889404296875
49058,1,33,2,20,-10,20,-10,987.22882080078125
49058,1,28,2,23.5,-15,23.5,-15,987.57861328125
49058,1,27,2,20,-15,20,-15,988.06207275390625
49058,1,32,2,15,-10,15,-10,988.81182861328125
49058,1,31,2,10,-10,10,-10,989.6287841796876
49058,1,24,2,6.5,-15,6.5,-15,990.0117797851564
49058,1,20,2,10,-20,10,-20,990.44512939453125
49058,1,22,2,12.5,-17.5,12.5,-17.5,990.6287841796876
49058,1,26,2,15,-15,15,-15,990.94512939453125
49058,1,25,2,10,-15,10,-15,991.12890625
49058,1,29,2,12.5,-12.5,12.5,-12.5,991.327880859375
49058,1,30,2,17.5,-12.5,17.5,-12.5,991.94451904296875
49058,1,27,2,20,-15,20,-15,993.11199951171875
49058,1,21,2,20,-20,20,-20,993.41229248046875
49058,1,19,2,15,-20,15,-20,993.84552001953125
49058,1,23,2,17.5,-17.5,17.5,-17.5,993.91168212890625
49058,1,32,2,15,-10,15,-10,995.327880859375
49058,1,34,2,15,-6.5,15,-6.5,995.72882080078125
49058,1,31,2,10,-10,10,-10,996.44549560546875
49058,1,29,2,12.5,-12.5,12.5,-12.5,996.71209716796875
49058,1,25,2,10,-15,10,-15,997.06121826171875
49058,1,26,2,15,-15,15,-15,997.1787719726564
49058,1,30,2,17.5,-12.5,17.5,-12.5,997.47802734375
49058,1,22,2,12.5,-17.5,12.5,-17.5,998.01190185546875
49058,1,20,2,10,-20,10,-20,998.61187744140625
49058,1,24,2,6.5,-15,6.5,-15,999.02752685546875
49058,1,59,2,-10,-15,-10,-15,1000.5449829101564
49058,1,63,2,-12.5,-12.5,-12.5,-12.5,1000.8460083007813
49058,1,66,2,-15,-10,-15,-10,1001.2119750976564
49058,1,64,2,-17.5,-12.5,-17.5,-12.5,1001.2620239257813
49058,1,61,2,-20,-15,-20,-15,1001.5280151367188
49058,1,57,2,-17.5,-17.5,-17.5,-17.5,1001.7620239257813
49058,1,60,2,-15,-15,-15,-15,1002.14599609375
49058,1,56,2,-12.5,-17.5,-12.5,-17.5,1002.1790161132813
49058,1,20,2,10,-20,10,-20,1004.64501953125
49058,1,19,2,15,-20,15,-20,1005.0449829101564
49058,1,23,2,17.5,-17.5,17.5,-17.5,1005.31201171875
49058,1,27,2,20,-15,20,-15,1005.6119995117188
49058,1,30,2,17.5,-12.5,17.5,-12.5,1005.72802734375
49058,1,32,2,15,-10,15,-10,1005.9609985351564
49058,1,34,2,15,-6.5,15,-6.5,1006.47900390625
49058,1,31,2,10,-10,10,-10,1006.7789916992188
49058,1,22,2,12.5,-17.5,12.5,-17.5,1007.22802734375
49058,1,21,2,20,-20,20,-20,1007.7789916992188
49058,1,26,2,15,-15,15,-15,1009.7620239257813
49058,1,20,2,10,-20,10,-20,1010.0440063476564
49058,1,30,2,17.5,-12.5,17.5,-12.5,1011.1790161132813
49058,1,27,2,20,-15,20,-15,1011.5280151367188
49058,1,23,2,17.5,-17.5,17.5,-17.5,1011.8460083007813
49058,1,25,2,10,-15,10,-15,1012.4290161132813
49058,1,29,2,12.5,-12.5,12.5,-12.5,1012.6290283203124
49058,1,31,2,10,-10,10,-10,1012.7449951171876
49058,1,32,2,15,-10,15,-10,1012.97900390625
49058,1,22,2,12.5,-17.5,12.5,-17.5,1014.1610107421876
49058,1,56,2,-12.5,-17.5,-12.5,-17.5,1016.4290161132813
49058,1,59,2,-10,-15,-10,-15,1016.7130126953124
49058,1,63,2,-12.5,-12.5,-12.5,-12.5,1016.7780151367188
49058,1,66,2,-15,-10,-15,-10,1017.06298828125
49058,1,68,2,-15,-6.5,-15,-6.5,1017.3619995117188
49058,1,64,2,-17.5,-12.5,-17.5,-12.5,1017.6790161132813
49058,1,61,2,-20,-15,-20,-15,1017.97900390625
49058,1,62,2,-23.5,-15,-23.5,-15,1018.1619873046876
49058,1,60,2,-15,-15,-15,-15,1019.5789794921876
49058,1,53,2,-15,-20,-15,-20,1019.97802734375
49058,1,57,2,-17.5,-17.5,-17.5,-17.5,1020.0280151367188
49058,1,52,2,-15,-23.5,-15,-23.5,1020.3790283203124
49058,1,54,2,-10,-20,-10,-20,1020.8460083007813
49058,1,25,2,10,-15,10,-15,1022.6619873046876
49058,1,29,2,12.5,-12.5,12.5,-12.5,1022.9630126953124
49058,1,32,2,15,-10,15,-10,1023.2620239257813
49058,1,33,2,20,-10,20,-10,1023.72900390625
49058,1,30,2,17.5,-12.5,17.5,-12.5,1023.9290161132813
49058,1,26,2,15,-15,15,-15,1024.1619873046875
49058,1,22,2,12.5,-17.5,12.5,-17.5,1024.4610595703125
49058,1,20,2,10,-20,10,-20,1024.761962890625
49058,1,18,2,15,-23.5,15,-23.5,1025.178955078125
49058,1,19,2,15,-20,15,-20,1025.446044921875
49058,1,23,2,17.5,-17.5,17.5,-17.5,1025.6619873046875
49058,1,27,2,20,-15,20,-15,1026.261962890625
49058,1,58,2,-6.5,-15,-6.5,-15,1028.8280029296875
49058,1,59,2,-10,-15,-10,-15,1028.928955078125
49058,1,63,2,-12.5,-12.5,-12.5,-12.5,1029.22900390625
49058,1,60,2,-15,-15,-15,-15,1029.4129638671875
49058,1,57,2,-17.5,-17.5,-17.5,-17.5,1029.678955078125
49058,1,53,2,-15,-20,-15,-20,1029.928955078125
49058,1,54,2,-10,-20,-10,-20,1030.345947265625
49058,1,56,2,-12.5,-17.5,-12.5,-17.5,1030.56298828125
49058,1,61,2,-20,-15,-20,-15,1031.363037109375
49058,1,64,2,-17.5,-12.5,-17.5,-12.5,1031.5789794921875
49058,1,66,2,-15,-10,-15,-10,1031.8780517578125
49058,1,68,2,-15,-6.5,-15,-6.5,1032.22900390625
49058,1,51,2,-15,6.5,-15,6.5,1033.428955078125
49058,1,49,2,-15,10,-15,10,1033.7120361328125
49058,1,43,2,-15,15,-15,15,1034.1280517578125
49058,1,36,2,-15,20,-15,20,1034.5460205078125
49058,1,35,2,-15,23.5,-15,23.5,1034.8289794921875
49058,1,37,2,-10,20,-10,20,1035.06201171875
49058,1,39,2,-12.5,17.5,-12.5,17.5,1035.178955078125
49058,1,46,2,-12.5,12.5,-12.5,12.5,1035.64599609375
49058,1,42,2,-10,15,-10,15,1035.928955078125
49058,1,41,2,-6.5,15,-6.5,15,1036.112060546875
49058,1,14,2,10,10,10,10,1037.928955078125
49058,1,8,2,10,15,10,15,1038.1290283203125
49058,1,5,2,12.5,17.5,12.5,17.5,1038.427978515625
49058,1,3,2,10,20,10,20,1038.7459716796875
49058,1,9,2,15,15,15,15,1039.0279541015625
49058,1,13,2,17.5,12.5,17.5,12.5,1039.3289794921875
49058,1,10,2,20,15,20,15,1039.511962890625
49058,1,6,2,17.5,17.5,17.5,17.5,1039.64599609375
49058,1,4,2,20,20,20,20,1039.845947265625
49058,1,2,2,15,20,15,20,1040.1619873046875
49058,1,12,2,12.5,12.5,12.5,12.5,1040.7120361328125
49058,1,15,2,15,10,15,10,1041.1290283203125
49058,1,17,2,15,6.5,15,6.5,1041.3790283203125
49058,1,34,2,15,-6.5,15,-6.5,1042.529052734375
49058,1,32,2,15,-10,15,-10,1042.8280029296875
49058,1,30,2,17.5,-12.5,17.5,-12.5,1043.0279541015625
49058,1,26,2,15,-15,15,-15,1043.22900390625
49058,1,23,2,17.5,-17.5,17.5,-17.5,1043.428955078125
49058,1,27,2,20,-15,20,-15,1043.8790283203125
49058,1,33,2,20,-10,20,-10,1044.279052734375
49058,1,29,2,12.5,-12.5,12.5,-12.5,1045.113037109375
49058,1,19,2,15,-20,15,-20,1046.178955078125
49058,1,22,2,12.5,-17.5,12.5,-17.5,1046.363037109375
49058,1,20,2,10,-20,10,-20,1046.7779541015625
49058,1,24,2,6.5,-15,6.5,-15,1046.928955078125
49058,1,56,2,-12.5,-17.5,-12.5,-17.5,1048.613037109375
49058,1,59,2,-10,-15,-10,-15,1048.6619873046875
49058,1,65,2,-10,-10,-10,-10,1049.1629638671875
49058,1,66,2,-15,-10,-15,-10,1049.5789794921875
49058,1,68,2,-15,-6.5,-15,-6.5,1049.9119873046875
49058,1,67,2,-17.5,-12.5,-20,-10,1050.446044921875
49058,1,64,2,-17.5,-12.5,-17.5,-12.5,1050.4630126953125
49058,1,61,2,-20,-15,-20,-15,1050.761962890625
49058,1,62,2,-23.5,-15,-23.5,-15,1050.8790283203125
49058,1,57,2,-17.5,-17.5,-17.5,-17.5,1051.512939453125
49058,1,60,2,-15,-15,-15,-15,1051.7449951171875
49058,1,54,2,-10,-20,-10,-20,1052.279052734375
49058,1,53,2,-15,-20,-15,-20,1052.678955078125
49058,1,51,2,-15,6.5,-15,6.5,1054.946044921875
49058,1,49,2,-15,10,-15,10,1055.2459716796875
49058,1,43,2,-15,15,-15,15,1055.6629638671875
49058,1,36,2,-15,20,-15,20,1056.06298828125
49058,1,35,2,-15,23.5,-15,23.5,1056.345947265625
49058,1,38,2,-20,20,-20,20,1056.7130126953125
49058,1,44,2,-20,15,-20,15,1057.262939453125
49058,1,39,2,-12.5,17.5,-12.5,17.5,1057.928955078125
49058,1,37,2,-10,20,-10,20,1058.22998046875
49058,1,42,2,-10,15,-10,15,1058.511962890625
49058,1,46,2,-12.5,12.5,-12.5,12.5,1058.72900390625
49058,1,48,2,-10,10,-10,10,1058.928955078125
49058,1,7,2,6.5,15,6.5,15,1060.5460205078125
49058,1,8,2,10,15,10,15,1060.762939453125
49058,1,14,2,12.5,12.5,10,10,1060.9620361328125
49058,1,12,2,12.5,12.5,12.5,12.5,1060.97998046875
49058,1,17,2,15,6.5,15,6.5,1061.4129638671875
49058,1,16,2,20,10,20,10,1061.8299560546875
49058,1,10,2,20,15,20,15,1062.262939453125
49058,1,6,2,17.5,17.5,17.5,17.5,1062.530029296875
49058,1,4,2,20,20,20,20,1062.72998046875
49058,1,1,2,15,23.5,15,23.5,1063.362060546875
49058,1,2,2,15,20,15,20,1063.5460205078125
49058,1,13,2,17.5,12.5,17.5,12.5,1064.279052734375
49058,1,9,2,15,15,15,15,1064.345947265625
49058,1,15,2,15,10,15,10,1064.511962890625
49058,1,34,2,15,-6.5,15,-6.5,1065.946044921875
49058,1,32,2,15,-10,15,-10,1066.22900390625
49058,1,30,2,17.5,-12.5,17.5,-12.5,1066.4620361328125
49058,1,27,2,20,-15,20,-15,1066.762939453125
49058,1,21,2,20,-20,20,-20,1067.72900390625
49058,1,23,2,17.5,-17.5,17.5,-17.5,1067.97900390625
49058,1,26,2,15,-15,15,-15,1068.279052734375
49058,1,29,2,12.5,-12.5,12.5,-12.5,1068.5799560546875
49058,1,31,2,10,-10,10,-10,1068.862060546875
49058,1,25,2,10,-15,10,-15,1069.06298828125
49058,1,24,2,6.5,-15,6.5,-15,1069.1300048828125
49058,1,22,2,12.5,-17.5,12.5,-17.5,1069.3790283203125
49058,1,19,2,15,-20,15,-20,1069.6629638671875
49058,1,18,2,15,-23.5,15,-23.5,1070.029052734375
49058,1,20,2,10,-20,10,-20,1070.31298828125
49058,1,58,2,-6.5,-15,-6.5,-15,1072.344970703125
49058,1,59,2,-10,-15,-10,-15,1072.64599609375
49058,1,63,2,-12.5,-12.5,-12.5,-12.5,1072.8800048828125
49058,1,64,2,-17.5,-12.5,-17.5,-12.5,1073.3299560546875
49058,1,61,2,-20,-15,-20,-15,1073.5799560546875
49058,1,57,2,-17.5,-17.5,-17.5,-17.5,1073.845947265625
49058,1,56,2,-12.5,-17.5,-12.5,-17.5,1074.262939453125
49058,1,60,2,-15,-15,-15,-15,1074.64599609375
49058,1,53,2,-15,-20,-15,-20,1074.9129638671875
49058,1,55,2,-20,-20,-20,-20,1075.178955078125
49058,1,66,2,-15,-10,-15,-10,1076.5460205078125
49058,1,68,2,-15,-6.5,-15,-6.5,1077.4300537109375
49058,1,51,2,-15,6.5,-15,6.5,1078.1290283203125
49058,1,49,2,-15,10,-15,10,1078.4129638671875
49058,1,43,2,-15,15,-15,15,1078.8299560546875
49058,1,36,2,-15,20,-15,20,1079.22900390625
49058,1,38,2,-20,20,-20,20,1079.5789794921875
49058,1,40,2,-17.5,17.5,-17.5,17.5,1079.81298828125
49058,1,47,2,-17.5,12.5,-17.5,12.5,1080.345947265625
49058,1,50,2,-20,10,-20,10,1080.613037109375
49058,1,44,2,-20,15,-20,15,1080.8289794921875
49058,1,46,2,-12.5,12.5,-12.5,12.5,1081.4300537109375
49058,1,48,2,-10,10,-10,10,1081.72998046875
49058,1,41,2,-6.5,15,-6.5,15,1082.0789794921875
49058,1,7,2,6.5,15,6.5,15,1083.280029296875
49058,1,8,2,10,15,10,15,1083.6300048828125
49058,1,9,2,15,15,15,15,1084.029052734375
49058,1,10,2,20,15,20,15,1084.446044921875
49058,1,6,2,17.5,17.5,17.5,17.5,1084.761962890625
49058,1,4,2,20,20,20,20,1084.845947265625
49058,1,2,2,15,20,15,20,1085.06298828125
49058,1,1,2,15,23.5,15,23.5,1085.2459716796875
49058,1,3,2,10,20,10,20,1085.613037109375
49058,1,5,2,12.5,17.5,12.5,17.5,1085.7130126953125
49058,1,12,2,12.5,12.5,12.5,12.5,1086.1300048828125
49058,1,13,2,17.5,12.5,17.5,12.5,1086.428955078125
49058,1,15,2,15,10,15,10,1086.8790283203125
49058,1,17,2,15,6.5,15,6.5,1087.1629638671875
49058,1,34,2,15,-6.5,15,-6.5,1088.2459716796875
49058,1,32,2,15,-10,15,-10,1088.5460205078125
49058,1,30,2,17.5,-12.5,17.5,-12.5,1088.7469482421875
49058,1,27,2,20,-15,20,-15,1089.1800537109375
49058,1,23,2,17.5,-17.5,17.5,-17.5,1089.5460205078125
49058,1,28,2,23.5,-15,23.5,-15,1090.863037109375
49058,1,26,2,15,-15,15,-15,1091.345947265625
49058,1,29,2,12.5,-12.5,12.5,-12.5,1091.6300048828125
49058,1,31,2,10,-10,10,-10,1092.39697265625
49058,1,24,2,6.5,-15,6.5,-15,1092.928955078125
49058,1,25,2,10,-15,10,-15,1093.0450439453125
49058,1,22,2,12.5,-17.5,12.5,-17.5,1093.3289794921875
49058,1,19,2,15,-20,15,-20,1093.6300048828125
49058,1,18,2,15,-23.5,15,-23.5,1093.862060546875
49058,1,20,2,10,-20,10,-20,1094.22998046875
49058,1,54,2,-10,-20,-10,-20,1095.9449462890625
49058,1,56,2,-12.5,-17.5,-12.5,-17.5,1097.095947265625
49058,1,60,2,-15,-15,-15,-15,1097.447021484375
49058,1,64,2,-17.5,-12.5,-17.5,-12.5,1097.72998046875
49058,1,66,2,-15,-10,-15,-10,1097.928955078125
49058,1,65,2,-10,-10,-10,-10,1098.2969970703125
49058,1,59,2,-10,-15,-10,-15,1098.6800537109375
49058,1,57,2,-17.5,-17.5,-17.5,-17.5,1099.2130126953125
49058,1,61,2,-20,-15,-20,-15,1099.4300537109375
49058,1,53,2,-15,-20,-15,-20,1099.845947265625
49058,1,52,2,-15,-23.5,-15,-23.5,1100.2130126953125
49058,1,55,2,-20,-20,-20,-20,1100.779052734375
49058,1,67,2,-20,-10,-20,-10,1101.6619873046875
49058,1,51,2,-15,6.5,-15,6.5,1103.2969970703125
49058,1,49,2,-15,10,-15,10,1103.447021484375
49058,1,43,2,-15,15,-15,15,1103.8800048828125
49058,1,36,2,-15,20,-15,20,1104.31298828125
49058,1,35,2,-15,23.5,-15,23.5,1104.5799560546875
49058,1,38,2,-20,20,-20,20,1104.81298828125
49058,1,40,2,-17.5,17.5,-17.5,17.5,1105.030029296875
49058,1,44,2,-20,15,-20,15,1105.1629638671875
49058,1,47,2,-17.5,12.5,-17.5,12.5,1105.364013671875
49058,1,48,2,-12.5,12.5,-10,10,1106.029052734375
49058,1,46,2,-12.5,12.5,-12.5,12.5,1106.0460205078125
49058,1,42,2,-10,15,-10,15,1106.280029296875
49058,1,39,2,-12.5,17.5,-12.5,17.5,1106.530029296875
49058,1,37,2,-10,20,-10,20,1106.7469482421875
49058,1,41,2,-6.5,15,-6.5,15,1106.863037109375
49058,1,14,2,10,10,10,10,1108.4639892578125
49058,1,12,2,12.5,12.5,12.5,12.5,1108.6629638671875
49058,1,15,2,15,10,15,10,1108.864013671875
49058,1,13,2,17.5,12.5,17.5,12.5,1109.0789794921875
49058,1,10,2,20,15,20,15,1109.4129638671875
49058,1,6,2,17.5,17.5,17.5,17.5,1109.6300048828125
49058,1,5,2,12.5,17.5,12.5,17.5,1110.06396484375
49058,1,3,2,10,20,10,20,1110.2969970703125
49058,1,8,2,10,15,10,15,1110.64599609375
49058,1,9,2,15,15,15,15,1111.1800537109375
49058,1,4,2,20,20,20,20,1111.9639892578125
49058,1,11,2,23.5,15,23.5,15,1112.56396484375
49058,1,16,2,20,10,20,10,1113.029052734375
49058,1,17,2,15,6.5,15,6.5,1113.47998046875
49058,1,34,2,15,-6.5,15,-6.5,1114.780029296875
49058,1,32,2,15,-10,15,-10,1115.0469970703125
