subject,level,object_size,x,y,points,time
1,_tutorial,extra large,-10,-10,0,39.971099853515625
1,_tutorial,extra large,-10,-15,5,40.4208984375
1,_tutorial,extra large,-10,-20,10,40.837398529052734
1,_tutorial,extra large,-15,-20,15,41.172000885009766
1,_tutorial,extra large,-15,-15,20,41.787200927734375
1,_tutorial,extra large,-15,-10,25,42.10409927368164
1,_tutorial,extra large,-20,-10,30,42.387001037597656
1,_tutorial,extra large,-20,-15,35,42.72079849243164
1,_tutorial,extra large,-20,-20,40,43.17020034790039
1,_tutorial,extra large,-10,-20,45,46.502601623535156
1,_tutorial,extra large,-10,-15,50,46.76900100708008
1,_tutorial,extra large,-10,-10,55,47.20209884643555
1,_tutorial,extra large,-15,-10,60,47.65250015258789
1,_tutorial,extra large,-15,-15,65,48.05270004272461
1,_tutorial,extra large,-15,-20,70,48.48500061035156
1,_tutorial,extra large,-20,-20,75,48.95199966430664
1,_tutorial,extra large,-20,-15,80,49.501399993896484
1,_tutorial,extra large,-20,-10,85,49.9197998046875
1,_tutorial,extra large,-10,-10,90,52.300899505615234
1,_tutorial,extra large,-10,-15,95,52.68370056152344
1,_tutorial,extra large,-10,-20,100,53.10020065307617
1,_tutorial,extra large,-15,-20,105,53.58380126953125
1,_tutorial,extra large,-15,-15,110,54.05070114135742
1,_tutorial,extra large,-15,-10,115,54.50040054321289
1,_tutorial,extra large,-20,-10,120,54.98270034790039
1,_tutorial,extra large,-20,-15,125,55.549198150634766
1,_tutorial,extra large,-20,-20,130,55.970699310302734
1,_tutorial,extra large,-10,-20,135,58.13249969482422
1,_tutorial,extra large,-10,-15,140,58.53160095214844
1,_tutorial,extra large,-10,-10,145,58.94900131225586
1,_tutorial,extra large,-15,-10,150,59.53139877319336
1,_tutorial,extra large,-15,-15,155,59.947898864746094
1,_tutorial,extra large,-15,-20,160,60.347599029541016
1,_tutorial,extra large,-20,-20,165,60.997798919677734
1,_tutorial,extra large,-20,-15,170,61.347999572753906
1,_tutorial,extra large,-20,-10,175,61.66490173339844
1,_tutorial,extra large,-10,-15,180,63.897098541259766
1,_tutorial,extra large,-10,-20,185,64.33039855957031
1,_tutorial,extra large,-10,-10,190,65.196502685546875
1,_tutorial,extra large,-15,-10,195,65.6624984741211
1,_level_1,extra small,15,-10,0,91.40370178222656
1,_level_1,extra small,17.5,-12.5,2,91.70359802246094
1,_level_1,extra small,17.5,-17.5,4,92.10359954833984
1,_level_1,extra small,15,-20,6,92.37010192871094
1,_level_1,extra small,15,-23.5,8,92.60340118408203
1,_level_1,extra small,10,-20,10,93.63639831542969
1,_level_1,extra small,12.5,-17.5,12,93.85320281982422
1,_level_1,extra small,15,-15,14,94.10379791259766
1,_level_1,extra small,12.5,-12.5,16,94.3196029663086
1,_level_1,extra small,10,-10,18,94.67030334472656
1,_level_1,extra small,15,-6.5,20,95.01930236816406
1,_level_1,extra small,15,6.5,22,96.152099609375
1,_level_1,extra small,15,10,24,96.4529037475586
1,_level_1,extra small,17.5,12.5,26,96.85169982910156
1,_level_1,extra small,20,15,28,97.152801513671875
1,_level_1,extra small,17.5,17.5,30,97.368499755859375
1,_level_1,extra small,15,20,32,97.65229797363281
1,_level_1,extra small,12.5,17.5,34,97.852203369140625
1,_level_1,extra small,15,15,36,98.16850280761719
1,_level_1,extra small,12.5,12.5,38,98.40229797363281
1,_level_1,extra small,10,15,40,98.6852035522461
1,_level_1,extra small,15,-6.5,42,100.58439636230469
1,_level_1,extra small,15,-10,44,100.88390350341797
1,_level_1,extra small,17.5,-12.5,46,101.11689758300781
1,_level_1,extra small,20,-15,48,101.45140075683594
1,_level_1,extra small,17.5,-17.5,50,101.65080261230469
1,_level_1,extra small,12.5,-17.5,52,102.08360290527344
1,_level_1,extra small,10,-15,54,102.3501968383789
1,_level_1,extra small,12.5,-12.5,56,102.5000991821289
1,_level_1,extra small,15,-15,58,102.76730346679688
1,_level_1,extra small,15,-20,60,103.21659851074219
1,_level_1,extra small,15,-23.5,62,103.5
1,_level_1,extra small,10,-20,64,103.81649780273438
1,_level_1,extra small,10,-10,66,104.56610107421875
1,_level_1,extra small,15,6.5,68,105.99970245361328
1,_level_1,extra small,15,10,70,106.28279876708984
1,_level_1,extra small,17.5,12.5,72,106.54930114746094
1,_level_1,extra small,20,15,74,106.8322982788086
1,_level_1,extra small,17.5,17.5,76,107.03189849853516
1,_level_1,extra small,12.5,17.5,78,107.34850311279297
1,_level_1,extra small,10,15,80,107.59870147705078
1,_level_1,extra small,12.5,12.5,82,107.74819946289063
1,_level_1,extra small,10,10,84,107.964599609375
1,_level_1,extra small,15,-6.5,86,109.43170166015625
1,_level_1,extra small,15,-10,88,109.697998046875
1,_level_1,extra small,20,-10,90,109.93160247802734
1,_level_1,extra small,17.5,-12.5,92,109.98069763183594
1,_level_1,extra small,20,-15,94,110.36499786376953
1,_level_1,extra small,17.5,-17.5,96,110.43080139160156
1,_level_1,extra small,20,-20,98,110.681396484375
1,_level_1,extra small,15,-20,100,111.06390380859375
1,_level_1,extra small,10,-20,102,111.48040008544922
1,_level_1,extra small,12.5,-17.5,104,111.53019714355469
1,_level_1,extra small,15,-15,106,111.74759674072266
1,_level_1,extra small,12.5,-12.5,108,111.98079681396484
1,_level_1,extra small,15,6.5,110,113.7302017211914
1,_level_1,extra small,15,10,112,114.03019714355469
1,_level_1,extra small,15,15,114,114.42980194091797
1,_level_1,extra small,17.5,12.5,116,114.54679870605469
1,_level_1,extra small,17.5,17.5,118,114.66290283203125
1,_level_1,extra small,15,20,120,114.96240234375
1,_level_1,extra small,12.5,17.5,122,115.12940216064453
1,_level_1,extra small,10,15,124,115.42990112304688
1,_level_1,extra small,12.5,12.5,126,115.5792007446289
1,_level_1,extra small,17.5,-12.5,128,117.86229705810547
1,_level_1,extra small,20,-15,130,118.1281967163086
1,_level_1,extra small,17.5,-17.5,132,118.32820129394531
1,_level_1,extra small,20,-20,134,118.54560089111328
1,_level_1,extra small,15,-23.5,136,118.9281005859375
1,_level_1,extra small,10,-20,138,119.34519958496094
1,_level_1,extra small,12.5,-17.5,140,119.46119689941406
1,_level_1,extra small,15,-20,142,119.62750244140625
1,_level_1,extra small,15,-15,144,119.72850036621094
1,_level_1,extra small,12.5,-12.5,146,120.01110076904297
1,_level_1,extra small,15,-10,148,120.2114028930664
1,_level_1,extra small,15,-6.5,150,120.56120300292969
1,_level_1,extra small,15,6.5,152,121.74440002441406
1,_level_1,extra small,15,10,154,122.04419708251953
1,_level_1,extra small,17.5,12.5,156,122.31060028076172
1,_level_1,extra small,20,15,158,122.61039733886719
1,_level_1,extra small,17.5,17.5,160,122.77670288085938
1,_level_1,extra small,15,20,162,123.0436019897461
1,_level_1,extra small,12.5,17.5,164,123.27739715576172
1,_level_1,extra small,15,15,166,123.55970001220703
1,_level_1,extra small,12.5,12.5,168,123.79340362548828
1,_level_1,extra small,10,15,170,124.16020202636719
1,_level_1,extra small,10,10,172,124.37680053710938
1,_level_1,extra small,15,-6.5,174,125.89320373535156
1,_level_1,extra small,15,-10,176,126.15879821777344
1,_level_1,extra small,17.5,-12.5,178,126.4916000366211
1,_level_1,extra small,20,-15,180,126.75859832763672
1,_level_1,extra small,20,-20,182,127.1427001953125
1,_level_1,extra small,15,-20,184,127.59230041503906
1,_level_1,extra small,12.5,-17.5,186,127.9916000366211
1,_level_1,extra small,15,-15,188,128.2086944580078
1,_level_1,extra small,12.5,-12.5,190,128.50880432128906
1,_level_1,extra small,10,-15,192,128.6425018310547
1,_level_1,extra small,15,6.5,194,130.4071044921875
1,_level_1,extra small,15,10,196,130.6905975341797
1,_level_1,extra small,17.5,12.5,198,130.9403076171875
1,_level_1,extra small,17.5,12.5,200,130.9571990966797
1,_level_1,extra small,20,15,202,131.20689392089844
1,_level_1,extra small,17.5,17.5,204,131.4241943359375
1,_level_1,extra small,15,20,206,131.70680236816406
1,_level_1,extra small,10,20,208,132.10690307617188
1,_level_1,extra small,12.5,17.5,210,132.27780151367188
1,_level_1,extra small,15,15,212,132.54049682617188
1,_level_1,extra small,12.5,12.5,214,132.6405029296875
1,_level_1,extra small,10,10,216,132.9073944091797
1,_level_1,extra small,15,-6.5,218,134.82249450683594
1,_level_1,extra small,15,-10,220,135.1396026611328
1,_level_1,extra small,17.5,-12.5,222,135.4062957763672
1,_level_1,extra small,20,-15,224,135.70579528808594
1,_level_1,extra small,17.5,-17.5,226,135.939697265625
1,_level_1,extra small,15,-20,228,136.23899841308594
1,_level_1,extra small,10,-20,230,136.6885986328125
1,_level_1,extra small,12.5,-17.5,232,136.8726043701172
1,_level_1,extra small,15,-15,234,137.13909912109375
1,_level_1,extra small,12.5,-12.5,236,137.30679321289063
1,_level_1,extra small,15,6.5,238,139.08770751953125
1,_level_1,extra small,15,10,240,139.3715057373047
1,_level_1,extra small,17.5,12.5,242,139.6381072998047
1,_level_1,extra small,20,10,244,139.6710968017578
1,_level_1,extra small,20,15,246,139.9217987060547
1,_level_1,extra small,17.5,17.5,248,140.13800048828125
1,_level_1,extra small,15,20,250,140.47149658203125
1,_level_1,extra small,12.5,17.5,252,140.72039794921875
1,_level_1,extra small,10,15,254,141.03689575195313
1,_level_1,extra small,12.5,12.5,256,141.4040985107422
1,_level_1,extra small,15,15,258,141.5872039794922
1,_level_1,extra small,15,-6.5,260,143.32009887695313
1,_level_1,extra small,15,-10,262,143.53610229492188
1,_level_1,extra small,17.5,-12.5,264,143.76950073242188
1,_level_1,extra small,20,-15,266,144.0861053466797
1,_level_1,extra small,20,-20,268,144.5028076171875
1,_level_1,extra small,15,-23.5,270,145.05230712890625
1,_level_1,extra small,15,-20,272,145.385498046875
1,_level_1,extra small,17.5,-17.5,274,145.6020965576172
1,_level_1,extra small,15,-15,276,145.785400390625
1,_level_1,extra small,10,-15,278,146.1186065673828
1,_level_1,extra small,12.5,-12.5,280,146.2852020263672
1,_level_1,extra small,15,6.5,282,147.96780395507813
1,_level_1,extra small,15,10,284,148.26800537109375
1,_level_1,extra small,17.5,12.5,286,148.51809692382813
1,_level_1,extra small,20,10,288,148.5511016845703
1,_level_1,extra small,20,15,290,148.78439331054688
1,_level_1,extra small,17.5,17.5,292,149.0511016845703
1,_level_1,extra small,15,20,294,149.3509979248047
1,_level_1,extra small,12.5,17.5,296,149.55079650878906
1,_level_1,extra small,12.5,12.5,298,149.9853057861328
1,_level_1,extra small,15,-6.5,300,151.65040588378906
1,_level_1,extra small,15,-10,302,151.91700744628906
1,_level_1,extra small,17.5,-12.5,304,152.18359375
1,_level_1,extra small,20,-15,306,152.4501953125
1,_level_1,extra small,20,-20,308,152.93679809570313
1,_level_1,extra small,15,-20,310,153.38270568847656
1,_level_1,extra small,12.5,-17.5,312,153.783203125
1,_level_1,extra small,15,-15,314,153.98269653320313
1,_level_1,extra small,12.5,-12.5,316,154.4658966064453
1,_level_1,extra small,15,6.5,318,155.94859313964844
1,_level_1,extra small,15,10,320,156.23179626464844
1,_level_1,extra small,17.5,12.5,322,156.46510314941406
1,_level_1,extra small,20,15,324,156.78250122070313
1,_level_1,extra small,17.5,17.5,326,156.98179626464844
1,_level_1,extra small,15,20,328,157.2982940673828
