subject,level,x,y,rotation,time
1,_tutorial,-0.37340930104255676,-3.544282913208008,201,39.121299743652344
1,_tutorial,-0.9496669769287109,-4.594890117645264,213,39.237998962402344
1,_tutorial,-1.9264910221099854,-5.645834922790527,231,39.35459899902344
1,_tutorial,-3.154539108276367,-6.389554023742676,246,39.471500396728516
1,_tutorial,0,-2.1600000858306885,180,39.005699157714844
1,_tutorial,0,-0.9599999785423279,180,38.905399322509766
1,_tutorial,-4.544745922088623,-6.7361650466918945,264,39.58879852294922
1,_tutorial,-5.744443893432617,-6.748653888702393,270,39.68949890136719
1,_tutorial,-7.184123992919922,-6.761022090911865,267,39.804901123046875
1,_tutorial,-8.34606647491455,-7.042738914489746,250,39.905799865722656
1,_tutorial,-9.47225570678711,-7.9160308837890625,221,40.02109909057617
1,_tutorial,-9.963911056518555,-9.00484561920166,197,40.121700286865234
1,_tutorial,-10.085249900817871,-10.19573974609375,180,40.237998962402344
1,_tutorial,-10.085249900817871,-11.395739555358887,180,40.3468017578125
1,_tutorial,-10.085249900817871,-12.59574031829834,180,40.45539855957031
1,_tutorial,-10.085249900817871,-14.035730361938477,180,40.570701599121094
1,_tutorial,-10.085249900817871,-15.235730171203613,180,40.6713981628418
1,_tutorial,-10.085249900817871,-16.675729751586914,180,40.787200927734375
1,_tutorial,-10.122550010681152,-17.874149322509766,186,40.88740158081055
1,_tutorial,-10.62654972076416,-19.206430435180664,213,41.004600524902344
1,_tutorial,-11.775050163269043,-20.04262924194336,246,41.120601654052734
1,_tutorial,-12.957679748535156,-20.224609375,267,41.23699951171875
1,_tutorial,-14.157670021057129,-20.224609375,270,41.337799072265625
1,_tutorial,-15.341540336608887,-20.046680450439453,284,41.43790054321289
1,_tutorial,-16.378389358520508,-19.455820083618164,308,41.53810119628906
1,_tutorial,-17.11277961730957,-18.234739303588867,343,41.65409851074219
1,_tutorial,-17.276090621948242,-16.810190200805664,0,41.77040100097656
1,_tutorial,-17.264440536499023,-15.610469818115234,3,41.870601654052734
1,_tutorial,-17.009859085083008,-14.442580223083496,19,41.97159957885742
1,_tutorial,-16.418550491333008,-13.130459785461426,22,42.08700180053711
1,_tutorial,-16.23431968688965,-11.95928955078125,357,42.187400817871094
1,_tutorial,-16.62558937072754,-10.585479736328125,334,42.3036994934082
1,_tutorial,-17.68939971923828,-9.729445457458496,277,42.420501708984375
1,_tutorial,-18.837820053100586,-10.049810409545898,245,42.52080154418945
1,_tutorial,-19.62704086303711,-10.936710357666016,210,42.63679885864258
1,_tutorial,-19.848499298095703,-12.109700202941895,183,42.73699951171875
1,_tutorial,-19.848499298095703,-13.309700012207031,180,42.83729934692383
1,_tutorial,-19.848499298095703,-14.749699592590332,180,42.9541015625
1,_tutorial,-19.848499298095703,-15.949700355529785,180,43.054298400878906
1,_tutorial,-19.848499298095703,-17.389699935913086,180,43.17020034790039
1,_tutorial,-19.698400497436523,-18.574230194091797,164,43.270301818847656
1,_tutorial,-19.0999698638916,-19.5987491607666,137,43.37120056152344
1,_tutorial,-17.851959228515625,-20.27471923828125,106,43.48720169067383
1,_tutorial,-16.66006088256836,-20.371919631958008,90,43.588401794433594
1,_tutorial,-15.220060348510742,-20.371919631958008,90,43.7036018371582
1,_tutorial,-14.020059585571289,-20.371919631958008,90,43.80390167236328
1,_tutorial,-12.820070266723633,-20.371919631958008,90,43.9197998046875
1,_tutorial,-11.380069732666016,-20.371919631958008,90,44.020999908447266
1,_tutorial,-10.180069923400879,-20.371919631958008,90,44.13639831542969
1,_tutorial,-8.98006820678711,-20.371919631958008,90,44.23720169067383
1,_tutorial,-7.540070056915283,-20.371919631958008,90,44.35309982299805
1,_tutorial,-6.100070953369141,-20.371919631958008,90,44.469600677490234
1,_tutorial,-4.90007209777832,-20.371919631958008,90,44.569698333740234
1,_tutorial,-3.4600729942321777,-20.371919631958008,90,44.686100006103516
1,_tutorial,-2.0200729370117188,-20.371919631958008,90,44.8026008605957
