strategy,forager,level,total_time,total_dist,ta_wt,nn_wt,clst_wt,rmi
clst,0,1,898.0901373762558,10328.036579826932,0,0,0.8297643559330619,0.016728207113868243
clst,0,2,453.5577940365139,5215.914631419903,0,0,0.8297643559330619,0.07400872790964763
clst,0,3,705.7282442075579,8115.874808386912,0,0,0.8297643559330619,0.007394238746041726
clst,0,4,525.0940610332132,6038.581701881957,0,0,0.8297643559330619,0.18390854271139923
clst,0,5,735.0341399498643,8452.892609423452,0,0,0.8297643559330619,0.016616790982310392
clst,0,6,348.2740934806442,4005.152075027404,0,0,0.8297643559330619,0.09506555611552059
clst,0,7,595.4591293826388,6847.779987900351,0,0,0.8297643559330619,0.018070660589795895
clst,0,8,357.88181654125736,4115.640890224451,0,0,0.8297643559330619,0.953146883146617
clst,0,9,286.3592904938989,3293.131840679839,0,0,0.8297643559330619,0.2625769041526024
clst,0,10,427.31978177818655,4914.1774904491485,0,0,0.8297643559330619,0.01923448065037192
clst,1,1,878.7240168063091,10105.326193272547,0,0,0.548276343003808,0.011639826810446507
clst,1,2,450.5964734310548,5181.859444457127,0,0,0.548276343003808,0.15024702518585453
clst,1,3,706.4110346037427,8123.726897943028,0,0,0.548276343003808,0.00988001972594954
clst,1,4,580.5736510263426,6676.596986802944,0,0,0.548276343003808,0.11668498819095885
clst,1,5,737.4390388791322,8480.548947110023,0,0,0.548276343003808,0.011586734421729306
clst,1,6,364.75545147562264,4194.687691969657,0,0,0.548276343003808,0.08478833186946755
clst,1,7,606.9188719770217,6979.56702773575,0,0,0.548276343003808,0.008298949717267301
clst,1,8,298.48600757162825,3432.5890870737185,0,0,0.548276343003808,0.6115216638751964
clst,1,9,302.60911308084997,3480.0048004297773,0,0,0.548276343003808,0.13052738223256366
clst,1,10,485.2721944006031,5580.630235606933,0,0,0.548276343003808,0.03645466521941687
clst,2,1,866.9895961978791,9970.380356275604,0,0,1.8100507414853708,0.00993583147566035
clst,2,2,447.9083013779225,5150.9454658461045,0,0,1.8100507414853708,0.08816213007175988
clst,2,3,727.4722750137199,8365.931162657767,0,0,1.8100507414853708,0.012332413582003654
clst,2,4,555.1740111634285,6384.501128379426,0,0,1.8100507414853708,0.232503370613668
clst,2,5,756.8159945661129,8703.383937510303,0,0,1.8100507414853708,0.01387177255869032
clst,2,6,376.02600409282303,4324.299047067457,0,0,1.8100507414853708,0.10834210790249232
clst,2,7,621.3789911744215,7145.858398505844,0,0,1.8100507414853708,0.010193346044835017
clst,2,8,363.96301306666714,4185.574650266663,0,0,1.8100507414853708,1
clst,2,9,292.7466848886923,3366.586876219964,0,0,1.8100507414853708,0.24648104868447418
clst,2,10,467.0616183051662,5371.208610509413,0,0,1.8100507414853708,0.016425617233366108
clst,3,1,874.3591278663265,10055.129970462754,0,0,1.0619284471636228,0.01209241232853886
clst,3,2,441.91926816171656,5082.071583859733,0,0,1.0619284471636228,0.10343109900975211
clst,3,3,728.6155279865116,8379.078571844864,0,0,1.0619284471636228,0.010241004043999302
clst,3,4,584.9920740698369,6727.408851803129,0,0,1.0619284471636228,0.14401217601422478
clst,3,5,766.1640836971621,8810.886962517368,0,0,1.0619284471636228,0.016365329032238418
clst,3,6,350.4043493737978,4029.650017798671,0,0,1.0619284471636228,0.1192336130330297
clst,3,7,623.0103681114315,7164.619233281463,0,0,1.0619284471636228,0.00613672257609954
clst,3,8,361.2265580790251,4154.10541790878,0,0,1.0619284471636228,0.9620552446420358
clst,3,9,248.09000565671408,2853.035065052209,0,0,1.0619284471636228,0.47508760697504293
clst,3,10,474.8933957292608,5461.274050886505,0,0,1.0619284471636228,0.01241021925695951
clst,4,1,895.2419998648852,10295.28299844618,0,0,1.190238274986941,0.012528482257611273
clst,4,2,432.6075371502895,4974.986677228323,0,0,1.190238274986941,0.08700618268499938
clst,4,3,727.4943169716656,8366.18464517414,0,0,1.190238274986941,0.009154009738291502
clst,4,4,574.5370628964572,6607.176223309267,0,0,1.190238274986941,0.21522261897306139
clst,4,5,747.8972133114672,8600.817953081883,0,0,1.190238274986941,0.016820557770740985
clst,4,6,368.3992980229813,4236.591927264281,0,0,1.190238274986941,0.08869652382481141
clst,4,7,618.557268044856,7113.408582515845,0,0,1.190238274986941,0.006671048837830984
clst,4,8,363.539454239973,4180.7037237596805,0,0,1.190238274986941,0.975850370171854
clst,4,9,251.76616170436935,2895.3108596002457,0,0,1.190238274986941,0.3743360801224308
clst,4,10,482.72402502102534,5551.326287741792,0,0,1.190238274986941,0.02582739166706105
clst,5,1,831.2551920050676,9559.43470805828,0,0,0.7196708406553587,0.019418156385973995
clst,5,2,422.900156559677,4863.351800436277,0,0,0.7196708406553587,0.09431175061802777
clst,5,3,674.710232653669,7759.167675517182,0,0,0.7196708406553587,0.007785359368105649
clst,5,4,570.0583226069083,6555.670709979451,0,0,0.7196708406553587,0.19482108362951822
clst,5,5,745.4503933375449,8572.679523381774,0,0,0.7196708406553587,0.014709828865770658
clst,5,6,367.43237502246814,4225.47231275838,0,0,0.7196708406553587,0.10927181849837841
clst,5,7,583.5501878876502,6710.827160707976,0,0,0.7196708406553587,0.006634683895641591
clst,5,8,363.3675855458132,4178.727233776843,0,0,0.7196708406553587,1
clst,5,9,294.2373602802899,3383.7296432233375,0,0,0.7196708406553587,0.2980921437462324
clst,5,10,386.7666304073112,4447.816249684083,0,0,0.7196708406553587,0.03167508204656866
