level,strategy,m_time,m_rmi
1,clst,855.71,0.02
1,nn,139.02,0.64
1,ta,433.47,0.95
2,clst,445.52,0.1
2,nn,119.01,0.86
2,ta,172.64,0.76
3,clst,708.6,0.01
3,nn,142.37,0.86
3,ta,250.91,0.96
4,clst,557.86,0.16
4,nn,185.04,0.76
4,ta,258.66,1
5,clst,735.58,0.01
5,nn,135.68,0.69
5,ta,384.83,0.94
6,clst,361.05,0.11
6,nn,118.51,0.9
6,ta,155.19,0.82
7,clst,611.92,0.01
7,nn,141.96,0.86
7,ta,223.42,0.97
8,clst,348.85,0.92
8,nn,121.15,0.86
8,ta,192.23,0.83
9,clst,264.89,0.32
9,nn,152.25,0.84
9,ta,332.81,0.96
10,clst,449.39,0.04
10,nn,144.48,0.63
10,ta,497.95,0.87
